geocode,season_end_year,disease,total_cases_L1,peak_week,R0,beta,gamma,duration_weeks,rmse,success
5211404,2024,dengue,303.64777622171067,202416,2.296294503066725,0.7184703597246009,0.3128824977654549,17,0.875117363071613,True
5211503,2011,dengue,150.15055963917544,201114,1.4436135200603848,0.4763924616132982,0.3299999999954082,41,0.32229829599201204,True
5211503,2012,dengue,132.66421059526098,201219,1.9523843113146393,0.585715293728031,0.30000000017088807,24,0.533592500734035,True
5211503,2013,dengue,1508.115342881363,201306,2.170284356905643,0.6510853071095718,0.3000000000174534,20,147.24007574095714,True
5211503,2014,dengue,122.28963603628306,201424,1.366705988538524,0.4104508602381259,0.30032125686157135,50,0.9102449161729927,True
5211503,2015,dengue,942.7022506767885,201514,1.5993844749751553,0.5271909392208008,0.3296211433020132,33,2.113779452008769,True
5211503,2016,dengue,131.71287855858859,201610,1.8033828650310788,0.5666882970593432,0.3142362656581952,27,0.1676176516922992,True
5211503,2018,dengue,725.4284123010166,201815,1.8436567135146698,0.5530970140546532,0.3000000000001368,27,7.149472895399005,True
5211503,2019,dengue,413.2619517590661,201912,1.4248460853565044,0.42745382561301537,0.3000000000042559,41,4.323839761309978,True
5211503,2020,dengue,120.99286002486964,202015,1.6106873715096373,0.5314246442240222,0.32993655604683714,33,0.48231744574004126,True
5211503,2021,dengue,177.20303912319804,202120,1.5257108463227662,0.4982706022074002,0.32658259158891134,38,0.3617222464787068,True
5211503,2022,dengue,1926.5027930615393,202212,1.6802540359563507,0.5040762108018177,0.30000000000887517,33,21.647098243806848,True
5211503,2023,dengue,148.2109129906711,202310,1.5221555075859623,0.4822862030716989,0.31684423875755824,36,1.0259385036030073,True
5211503,2024,dengue,1592.403606026146,202418,1.9436050480331166,0.6413896658152227,0.3299999999816291,22,90.08864962731529,True
5211503,2025,dengue,364.57985052667,202516,1.392498434722017,0.41774953042512586,0.30000000000611904,46,7.55980812455474,True
5211602,2021,dengue,47.63103447420513,202119,1.529180628601982,0.4687317941906045,0.30652480512987645,41,0.5747221044949664,True
5211602,2022,dengue,76.88469611830782,202210,1.4934353210239029,0.4480305963134874,0.30000000000422955,37,0.23197199702317534,True
5211602,2024,dengue,134.09247703271097,202412,2.223762837814444,0.6671288513444537,0.30000000000005417,19,0.1282091648719262,True
5211701,2014,dengue,87.80398586401235,201414,1.6192331639831132,0.5343469441102151,0.3299999999973986,32,0.4333876111580621,True
5211701,2022,dengue,276.48900850679706,202208,1.7473996735827577,0.539480275356495,0.30873318995784105,29,2.5568724758202506,True
5211701,2024,dengue,70.72481688237465,202418,1.7368976306844086,0.5665402251074363,0.32617939888846315,28,0.2768272629211177,True
5211701,2025,dengue,119.04013951071899,202518,1.6375406692266075,0.5388615784849788,0.3290676003420894,32,0.13120129642384118,True
5211800,2011,dengue,110.75085852334861,201113,1.460956000848402,0.4821154802753731,0.3299999999968517,40,0.26945192673615675,True
5211800,2013,dengue,1611.5875073887369,201312,1.8901119689151964,0.5670335906748452,0.3000000000001514,25,26.968557803657433,True
5211800,2014,dengue,298.9525938646389,201417,1.4546944940577162,0.4800491830371388,0.3299999999986887,43,1.8837636972567608,True
5211800,2015,dengue,787.0623637748002,201510,1.7239980565337687,0.517199416963641,0.3000000000020362,31,14.22464414766857,True
5211800,2016,dengue,157.19608716343254,201608,2.164272252780836,0.6695117884958057,0.309347304913031,19,0.3428453880016753,True
5211800,2017,dengue,402.6486240862782,201716,1.6116453625362308,0.5307101734605522,0.32929711821053403,33,2.367408488064804,True
5211800,2018,dengue,172.31305475285455,201816,1.545968972971663,0.5094708231403994,0.32954789652802285,37,0.17640984659395567,True
5211800,2019,dengue,512.7227483448967,201914,1.5450339367150987,0.46351018103061287,0.30000000001040966,40,2.861393063309773,True
5211800,2020,dengue,57.25601668332237,202011,1.4512438570699533,0.4561142241696852,0.314291924095083,39,0.15836059333361263,True
5211800,2021,dengue,288.2676557689985,202117,1.9443377692740587,0.6415757427612869,0.3299713418624927,22,0.7312246627012665,True
5211800,2022,dengue,974.2385925588806,202213,1.8947111334314037,0.5684133400383633,0.30000000000471955,26,10.262398899374853,True
5211800,2023,dengue,109.42071475189952,202303,1.5944812519479874,0.4783443755843977,0.30000000000000093,28,0.4176417834050199,True
5211800,2024,dengue,2129.872570189626,202415,1.7640396034911179,0.5292118810625843,0.30000000000864435,30,12.795295943960808,True
5211800,2025,dengue,1456.654238304349,202515,1.4221647893005624,0.42664943680378004,0.30000000000957083,44,21.07939584995152,True
5211909,2011,dengue,207.45766758748297,201108,1.3445377748936882,0.4033613325774308,0.30000000008130995,41,3.0769368258308902,True
5211909,2012,dengue,87.53877501355228,201215,1.2724819799480418,0.39319495838908414,0.30899844916085895,50,0.19031546748104958,True
5211909,2013,dengue,2221.103254872055,201314,1.8591937447073006,0.5577581234157283,0.300000000001903,27,6.850976285476187,True
5211909,2014,dengue,2502.8838228661275,201419,1.91669456398424,0.5750083692034919,0.30000000000428856,25,54.550769567085595,True
5211909,2015,dengue,5085.635597886173,201514,1.5526562230945846,0.47431312751612303,0.30548496213203846,39,17.98768871556383,True
5211909,2016,dengue,1625.3054826480413,201612,1.4200806946892874,0.42602420840907207,0.30000000000160965,42,60.44395584598074,True
5211909,2017,dengue,965.0001300116423,201709,1.478805792428723,0.4436417378182833,0.3000000000606343,37,42.69840132197667,True
5211909,2018,dengue,4540.634943981203,201817,1.7466082566099113,0.5497110353545994,0.3147305832743308,29,99.61098238256781,True
5211909,2019,dengue,4393.15563514309,201914,1.6385076041002227,0.5407075093530734,0.32999999999999996,32,99.8019138612093,True
5211909,2020,dengue,480.34823386139493,202018,1.3159029154366375,0.39477087473177774,0.3000000000765911,50,3.380883784655714,True
5211909,2021,dengue,1380.412004295349,202121,1.3362643938110343,0.40087931816074945,0.30000000001305066,51,8.832321072677987,True
5211909,2022,dengue,6946.984926236791,202214,1.8436988520616566,0.5531096556215906,0.300000000001678,27,401.2155481944275,True
