geocode,season_end_year,disease,total_cases_L1,peak_week,R0,alpha,beta,gamma,duration_weeks,rmse,success
1100254,2025,dengue,60.992076417547416,202515,1.3479830896295524,0.25815093105150433,0.44483441957526904,0.3299999999981578,45,0.14050120558637694,True
1100262,2024,dengue,61.037284594685666,202406,1.9019781132421694,0.47423159444491725,0.5705934339761265,0.3000000000018274,25,0.4016866521490464,True
1100288,2011,dengue,133.50820294164214,201048,3.7861052419766104,0.7358763330419388,1.135836233215369,0.3000012309806749,8,0.10937225806146875,True
1100288,2013,dengue,385.5317806917154,201304,2.022127817444535,0.5054714190798529,0.6066383452480414,0.3000000000072601,22,2.8143355302893074,True
1100288,2014,dengue,89.65762781230698,201405,1.4322810682293183,0.30181301548845646,0.42968432047169314,0.3000000000020231,35,0.24470007302106525,True
1100288,2016,dengue,339.6030780718105,201605,2.103611157271371,0.5246269746462475,0.6310833472058612,0.30000000001162286,21,8.547462748160559,True
1100288,2017,dengue,73.94992454495636,201719,1.25012946150765,0.20008284678452024,0.37503883847599606,0.3000000000189589,50,0.7264302053363362,True
1100288,2020,dengue,143.72318855598593,202024,1.5959913968712778,0.37343020647832886,0.48247665354269054,0.30230529718927046,37,0.22278227409007803,True
1100288,2022,dengue,205.52649443555254,202221,1.603098342942013,0.37620795105757776,0.4906594299211614,0.3060694511234421,36,0.9790331559907108,True
1100288,2023,dengue,650.7555858813124,202308,1.868972253077981,0.4649465778033271,0.5606916760562133,0.30000000007106525,27,5.548866393673252,True
1100288,2024,dengue,833.4373188847346,202410,3.21595279359784,0.6890501620574934,0.9647858381173915,0.30000000001182836,11,15.696205859555837,True
1100288,2025,dengue,231.90617578155803,202514,2.2045710089479327,0.5463970106015225,0.6616797055232229,0.3001398924496382,20,2.088358692076552,True
1100296,2016,dengue,52.46288640026513,201603,2.8067297662640467,0.6437134732314933,0.8435292877328404,0.30053812015384607,13,0.07540522843051417,True
1100296,2023,dengue,141.61734712281606,202305,1.6362651148736522,0.38885209315409913,0.49087953446533883,0.30000000000198207,29,0.8725417876993197,True
1100304,2011,dengue,102.8302897132598,201108,1.6829787999857304,0.40581545055203383,0.5048936400002073,0.3000000000026668,31,0.3334407664458376,True
1100304,2012,dengue,1076.7295268174325,201220,1.3871908581685857,0.27911866336818825,0.4161572574505769,0.3000000000000009,50,12.666768047254969,True
1100304,2013,dengue,1201.430800698892,201308,1.6483024600998275,0.3933152293302795,0.4944907380325504,0.30000000000157867,32,5.751423816641984,True
